id,period,gender,age_group,brand,ratio,timestamp
13468,2024-01-06,female,10대,파워에이드,23.53,2025-03-24 12:29:23.227681
13466,2024-01-06,female,10대,포카리스웨트,36.47,2025-03-24 12:29:23.227681
15710,2024-01-06,female,20대,링티,42.82,2025-03-24 12:29:23.227681
15709,2024-01-06,female,20대,토레타,13.33,2025-03-24 12:29:23.227681
15707,2024-01-06,female,20대,게토레이,5.38,2025-03-24 12:29:23.227681
15708,2024-01-06,female,20대,파워에이드,13.59,2025-03-24 12:29:23.227681
15706,2024-01-06,female,20대,포카리스웨트,24.87,2025-03-24 12:29:23.227681
17950,2024-01-06,female,30대,링티,47.51,2025-03-24 12:29:23.227681
17949,2024-01-06,female,30대,토레타,11.5,2025-03-24 12:29:23.227681
17947,2024-01-06,female,30대,게토레이,4.77,2025-03-24 12:29:23.227681
17948,2024-01-06,female,30대,파워에이드,9.33,2025-03-24 12:29:23.227681
17946,2024-01-06,female,30대,포카리스웨트,26.9,2025-03-24 12:29:23.227681
20190,2024-01-06,female,40대,링티,41.07,2025-03-24 12:29:23.227681
20189,2024-01-06,female,40대,토레타,8.71,2025-03-24 12:29:23.227681
20187,2024-01-06,female,40대,게토레이,5.8,2025-03-24 12:29:23.227681
20188,2024-01-06,female,40대,파워에이드,13.39,2025-03-24 12:29:23.227681
20186,2024-01-06,female,40대,포카리스웨트,31.03,2025-03-24 12:29:23.227681
22430,2024-01-06,female,50대,링티,37.29,2025-03-24 12:29:23.227681
22429,2024-01-06,female,50대,토레타,10.17,2025-03-24 12:29:23.227681
22427,2024-01-06,female,50대,게토레이,3.95,2025-03-24 12:29:23.227681
22428,2024-01-06,female,50대,파워에이드,9.04,2025-03-24 12:29:23.227681
22426,2024-01-06,female,50대,포카리스웨트,39.55,2025-03-24 12:29:23.227681
24670,2024-01-06,female,60대 이상,링티,36.51,2025-03-24 12:29:23.227681
24669,2024-01-06,female,60대 이상,토레타,3.17,2025-03-24 12:29:23.227681
24667,2024-01-06,female,60대 이상,게토레이,6.35,2025-03-24 12:29:23.227681
24668,2024-01-06,female,60대 이상,파워에이드,1.59,2025-03-24 12:29:23.227681
24666,2024-01-06,female,60대 이상,포카리스웨트,52.38,2025-03-24 12:29:23.227681
30,2024-01-06,male,10대,링티,12.5,2025-03-24 12:29:23.227681
29,2024-01-06,male,10대,토레타,14.58,2025-03-24 12:29:23.227681
27,2024-01-06,male,10대,게토레이,20.83,2025-03-24 12:29:23.227681
28,2024-01-06,male,10대,파워에이드,14.58,2025-03-24 12:29:23.227681
26,2024-01-06,male,10대,포카리스웨트,37.5,2025-03-24 12:29:23.227681
2270,2024-01-06,male,20대,링티,40.32,2025-03-24 12:29:23.227681
2269,2024-01-06,male,20대,토레타,9.09,2025-03-24 12:29:23.227681
2267,2024-01-06,male,20대,게토레이,8.3,2025-03-24 12:29:23.227681
2268,2024-01-06,male,20대,파워에이드,15.02,2025-03-24 12:29:23.227681
2266,2024-01-06,male,20대,포카리스웨트,27.27,2025-03-24 12:29:23.227681
